dataset_legivel,documento,taxa_encontrado,sim_media_geral
conhecimento_12,VSCF_8_Escritura-Escritura_20250117_000.pdf,0.875,0.7648248026768366
conhecimento_12,VSUL_1_Escritura-Escritura_20190915_000.pdf,0.9791666666666666,0.8989690157274405
conhecimento_12,VTRU16_Escritura-Escritura_20251020_000.pdf,0.8541666666666666,0.8084158462782701
conhecimento_12,VVEO_6_Escritura-Escritura_20221019_000.pdf,0.8125,0.6985456372300783
conhecimento_12,VVEO_7_Escritura-Escritura_20250430_000.pdf,0.6458333333333334,0.663761475433906
conhecimento_12,VVTS_3_Escritura-Escritura_20211005_000.pdf,0.9375,0.81687510261933
conhecimento_12,WWAV_3_Escritura-Escritura_20221124_000.pdf,0.9375,0.830502654115359
conhecimento_12,XPEN_1_Escritura-Escritura_20211206_000.pdf,0.8958333333333334,0.899364939580361
conhecimento_12,XXIX21_Escritura-Escritura_20230112_000.pdf,0.9166666666666666,0.904327904805541
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,0.25,0.8104309619714817
topics,AALM_1_Escritura-Escritura_20210715_000.pdf,0.2708333333333333,0.8865765358010927
topics,AALM_2_Escritura-Escritura_20240908_000.pdf,0.9375,0.8578510520358881
topics,AASN_1_Escritura-Escritura_20220506_000.pdf,0.9166666666666666,0.8839888516813517
topics,ABSP_2_Escritura-Escritura_20241010_000.pdf,0.9791666666666666,0.8425217124943932
topics,ACMB_3_Escritura-Escritura_20241010_000.pdf,0.9375,0.8055620069305102
topics,ADAG_1_Escritura-Escritura_20201124_000.pdf,0.9583333333333334,0.8200828166057667
topics,ADGE12_Escritura-Escritura_20230321_000.pdf,1.0,0.887358176211516
topics,ADGE_3_Escritura-Escritura_20230427_000.pdf,0.9166666666666666,0.8927512678007284
topics,ADPA_1_Escritura-Escritura_20250613_000.pdf,0.9583333333333334,0.8001011783878008
topics,ADPD_1_Escritura-Escritura_20250613_000.pdf,0.9791666666666666,0.805768558755517
topics,AEAB11_Escritura-Escritura_20220614_000.pdf,0.9583333333333334,0.8334093056619167
topics,AEAM_1_Escritura-Escritura_20210913_000.pdf,0.9166666666666666,0.8969492961963018
topics,AEGE_6_Escritura-Escritura_20240219_000.pdf,1.0,0.8448336484531561
topics,AEGE_7_Escritura-Escritura_20241105_000.pdf,1.0,0.876404657959938
topics,AEGP_11_Escritura-Escritura_20220801_000.pdf,0.9791666666666666,0.8482875823974609
topics,AEGP_13_Escritura-Escritura_20230302_000.pdf,1.0,0.8391185806443294
topics,AEGP_18_Escritura-Escritura_20231002_000.pdf,0.9583333333333334,0.8347899615764618
topics,AEGP_19_Escritura-Escritura_20240605_000.pdf,0.9791666666666666,0.8587544361750284
topics,AEGP_20_Escritura-Escritura_20240702_000.pdf,0.9791666666666666,0.8624093346297741
topics,AEGP_7_Escritura-Escritura_20210412_000.pdf,1.0,0.8552919179201126
topics,AEGP_9_Escritura-Escritura_20210916_000.pdf,1.0,0.8877392336726189
topics,AENE_1_Escritura-Escritura_20220610_000.pdf,0.9791666666666666,0.8579714174071947
topics,AEPA_6_Escritura-Escritura_20211119_000.pdf,0.9583333333333334,0.8489243605484565
topics,AGAU_2_Escritura-Escritura_20210805_001.pdf,0.9791666666666666,0.8442428161700567
topics,AGNN_2_Escritura-Escritura_20201026_000.pdf,0.9583333333333334,0.8521398566663265
topics,ALGA_10_Escritura-Escritura_20200409_000.pdf,1.0,0.8755783587694168
topics,ALGA_12_Escritura-Escritura_20220113_000.pdf,0.8958333333333334,0.7438365593552589
topics,ALGTA3_Escritura-Escritura_20230216_000.pdf,0.9583333333333334,0.8562041508654753
topics,ANDA_1_Escritura-Escritura_20210315_000.pdf,1.0,0.8465780851741632
topics,ANIM_3_Escritura-Escritura_20210414_000.pdf,0.9583333333333334,0.8027506818373998
topics,ANIM_7_Escritura-Escritura_20250508_000.pdf,1.0,0.8932736478745937
topics,ASCY13_Escritura-Escritura_20230214_000.pdf,1.0,0.9139032798508803
topics,ASCY_4_Escritura-Escritura_20240228_000.pdf,1.0,0.8667480243990818
topics,ATMP_7_Escritura-Escritura_20200813_003.pdf,0.9583333333333334,0.8110991983364025
topics,BAME_1_Escritura-Escritura_20220916_000.pdf,1.0,0.871595960110426
topics,BRKM_17_Escritura-Escritura_20220822_000.pdf,0.9375,0.844746100405852
topics,BTEL_2_Escritura-Escritura_20220609_001.pdf,0.9791666666666666,0.84566630423069
topics,CBSS_3_Escritura-Escritura_20231003_000.pdf,0.9583333333333334,0.8119211234152317
topics,CHMB11_Escritura-Escritura_20230309_000.pdf,1.0,0.8941138405352831
topics,CLIS_3_Escritura-Escritura_20250129_000.pdf,1.0,0.8501260969787836
topics,CMIN_2_Escritura-Escritura_20220712_002.pdf,0.9166666666666666,0.788571136072278
topics,COGN_10_Escritura-Escritura_20230801_000.pdf,1.0,0.8135649797817072
topics,COGN_14_Escritura-Escritura_20241119_000.pdf,0.22916666666666666,0.888660803437233
topics,COGN_6_Escritura-Escritura_20200515_000.pdf,0.9583333333333334,0.8097279655436674
topics,COGN_7_Escritura-Escritura_20210715_000.pdf,1.0,0.8552176517744859
topics,COGN_9_Escritura-Escritura_20230120_000.pdf,0.9583333333333334,0.8161053992807865
